raw,cluster,s
We were in the Wallace River off the bridge close to 1st street.  A chair was sitting in the water.  I looked at the chair and saw the bee crawl up on the chair out of the water.  It crawled up to the arm and sat there in the sun.  Its wings looked at le,[0],Negative ID
It was dead in a tray of water - a great specimen until I smashed the tar out of it afraid it might come back to life....Sorry!!,[1],Negative ID
"About 2 inches long, found on ground at new TA truck stop",[0],Negative ID
"I think it’s dead, it’s upside down in my planter and it’s about 2�?long. Friend thinks it’s a cricket but I’ve never heard crickets here. We do, however, have several varieties of wasps and bees.",[1],Negative ID
Unsure what it is found it dead on the pavement. There is a quarter in the photos for reference.,[0],Negative ID
"Definitely an Asian Hornet.  I got a good look.  I almost got a foot on it, I chased it until it bolted.",[1],Unverified
"3:53 pm, 7/26/20, Spotted in Ashford, WA. Caught on security camera not sure what it is",[1],Negative ID
"Huge hornet with red orange body w black stripes. Looked exactly like murder hornet on google search. Multiple people saw it landed near picnic at park, lakeside park in Chelan.",[0],Unverified
"Well over an inch in size, black and yellow stripes on the long legs, orange/brown wings. Moves fast and is nearly silent when it flies",[1],Negative ID
This apparent insect surprised me by flying off the side view mirror of my car as it was parked in central Everett. It sort of jumped or floated into the gutter. I was shocked by the size. I have seen bees and wasps of different kinds. This was at least,[0],Unverified
Flew into our yard and was flying around us until we were able to kill it,[1],Unverified
Found on front bumper. Was still alive. Assuming it hit my front bumper on dry creek rd between 195 & sr27,[0],Negative ID
Saw large wasp digging into a hill in woods by home.  I did not get a clear view as it was pushing rocks out of hole.  Only today heard that the murder hornets had land nest.,[1],Unverified
Playing at beach with my family and the two GIANT things showed up. Pics are little blurry.,[0],Negative ID
"Have seen and killed multiple. Most seem around 2"".",[0],Negative ID
Large hornets looks like murder hornets found In the backyard. There are tons of them and a lot of nesting.,[0],Unverified
I observed at the WWU Campus in the parking lot below Viking Union.  Was deceased and about 1.5 to 2 inches.,[0],Negative ID
Attached to the doorway’s net used to prevent bugs and insects from entering the home.,[0],Negative ID
WHAT THE HECK IS THIS,[0],Negative ID
"My cousin found this hornet while fishing in Roosevelt, WA.",[0],Negative ID
We killed it :),[1],Negative ID
contractor working next door reported it trying to get into his cab.  I think I saw one a couple weeks ago so both sightings at this address,[1],Unverified
"Large 2 inch, bee like insect,landed about 5 ft from me on the side of the garage. It was black with yellow stripes wings tucked along its body like a wasp does. Flew away a moment after it landed. It was the biggest bee like insect I've ever seen. I say",[1],Unverified
Very loud!,[1],Negative ID
"Out for a run on beach drive on Alki. Right by the stay safe street, something in the ground caught my eye. I thought it was a butterfly and slowed to move around it. It flew up off the ground and I realized it was an extremely large wasp/hornet. I was a",[1],Unverified
I was indoors looking out to my side yard. It flew around my side yard passing my window twice. I am very  familiar with other flying insects as I am allergic to wasp venom and have had wasps in my home and had many nest of different types removed. I am,[0],Unverified
Hornet landed in some water in my backyard this is the second one I have seen. I killed the first one it was in my pool.,[0],Unverified
On sidewalk outside McDonald’s.,[0],Negative ID
Was found alive and floating in the pool on a hot afternoon. It is about 1.75 inches long. It has large pincers not visible in the photos.,[1],Negative ID
Found dead in my driveway,[0],Negative ID
"Very large wasp, orange in color",[0],Unverified
"July 27, 2020 a Clerk at the Lowe's Garden Center in Issaquah just spotted a giant hornet in their greenhouse. I believe some of their plants comes from Whatcom County. County. remarked t hat she spotted a",[0],Unverified
Saw one on the 26th also same location. 2pm on Sat and 10 am Sunday Lake McMurry,[1],Negative ID
"The insect was dead when I found it. Not sure how it wound up there, but there are lots of flowering plants in the yard here and always plenty of honey bees.",[0],Negative ID
I'm not sure if it's one or not but I'm pretty sure I ran it over with a forklift and here's the picture I took of it,[0],Unverified
I'm not sure of it's one of them Asian hornets or not but I know I ran it over with a forklift,[0],Negative ID
Found in our above ground pool. Still alive at the time.,[1],Negative ID
Found nearly lifeless in yard. Haven’t seen a creature like this around here before.,[0],Negative ID
This hornet does not look like the Asian giant to me. Also it does not look like any of the native hornets above. It was a big hornet though I'm estimating about 1 inch in length.,[0],Negative ID
It was in my yard flying being chased by my dog. I live in Federal Way WA.,[0],Unverified
"Very large, trapped and tried to chew glass container.",[0],Negative ID
Found dying on ground outside my garage,[0],Negative ID
I found this dead floating in my pool.,[1],Unverified
"Hello, found dead thought it looked like the giant Asian hornet - sending pictures",[1],Negative ID
On basil plant in front yard garden,[1],Negative ID
Not too sure about this one.  I spotted one like this yesterday but today I was able to swat it.,[1],Negative ID
He landed on my recycle bin. He was at least 2 inches. I grew up here and never seen a bee like it. He got away when I tried to kill him,[1],Unverified
Gnarly sized hornet,[0],Unverified
Gnarly sized hornet,[1],Unverified
Insect was dead in our grass when my 4-year-old son found it.,[0],Negative ID
Caught after flew inside house,[0],Negative ID
"It’s huge (like dollar coin size) and has been flying around my house in Ephrata, WA for a couple of weeks. I just found it alive, but drowning in a water bucket sitting outside. Not sure if it is a murder hornet or something else, but wanted to report",[1],Negative ID
"It was HUGE! Just got our tent set-up,kids crawled in to check it out & then I heard my son yelling.",[1],Negative ID
"14 yr old who study all varieties of bees, hornets and wasps this year. Abt 7:30pm- one landed on our patio by shed- had yellow flat head with very big eyes, the yellow matched the body stripes. It was longer than her pinky finger. It had a very low buzz",[1],Unverified
It was a large hornet with reddish marking,[0],Unverified
Not sure if this is one but it is one of the biggest types of these insects ive seen.,[1],Negative ID
Can you identify this for me. Thank you.,[1],Negative ID
Two HUGE hornets flew out of o e of my flowering plants on my 5th floor deck - West Seattle. It happened too fast so no picture available.,[1],Unverified
Trapped in an opened slide window.,[0],Unverified
Only a brief glimpse as the hornet landed on a rhode in my backyard.  Orange and black bands around the body and appx 4 cms long.  Not enough time to capture it or get a picture.,[0],Unverified
floating in out pond,[0],Negative ID
"we were cutting firewood on my property when it appeared bussing around myself and a friend so I swatted it,  knocking it into the wheelbarrow and slapped it to stun it. Grabbing a jar with lid to capture.",[0],Negative ID
Murder hornets?,[1],Negative ID
Saved it for you : if you want it,[1],Negative ID
We have a lot of plants on are porch.  While siting out side I obsreved a lage black hornet.  I looked it up on the internet and it was identical to the Asian Giant Hornet.,[1],Unverified
"Flew by me.  2 inches long, black and orange",[1],Unverified
Large hot yet shape 2�?long orange and black.,[0],Unverified
We were on our back porch and I had a hornet buzz by me hitting my shoulder. I moved quickly and my girlfriend seen it stating that it was huge. She then seen it again and pointed it out to me. It was flying around the porch then landed on a leaf in our,[1],Unverified
Found it on the ground in a patch of clovers and we trapped it in a water bottle.,[1],Negative ID
Large hornet with huge stinger,[1],Negative ID
"I'm not sure this a giant Asian hornet...it doesn't look like the pictures on the site... so, what is this? We have never seen one before.",[0],Unverified
"There were 3 or 4 of these on my golden rain tree flowers for hours today. They're very sketchy when they fly,  almost like a moth. At least 2"" long if not longer. I came very close to catching one, but he didn't like me nearby and buzzed my face as he t",[1],Unverified
"My picture wouldn't upload,  sorry. But I just I'D it as a Golden Digger Wasp from another entry. 🙂 How cool are you guys? Please delete my previous entry.  Thank you",[1],Unverified
"I was watering my garden and saw the biggest ""wasp"" I have ever seen.  I tried to take a picture but it kept flying towards me. It was about 1 and 1/2 inches long with a black bottom and the wings faded from a light to dark color. Head was huge as well.",[1],Negative ID
"A bug flew down on to the cement in from of the Bay 1 bus station at the Eastgate Park & Ride. It was about two inches and had dard yellow and black markings and broad dark yellow, transulcent rounded wing. Going from memory, I believe it had black stran",[1],Unverified
"No orange head however, rather large orange on rear of thorax to end",[0],Negative ID
Was watering plants and saw this thing fly by me and land on plant next to me. It appears same size and shape as murder hornet but maybe not same color.  If not murder hornet then dont know what it is. Would still like to know what it is. Never seen that,[0],Negative ID
On garlic,[0],Negative ID
I found it almost drowning by my pool. I am a Washington native. Never have I seen a bee this big.,[1],Negative ID
"We live on the north side of Spokane, WA and this was in our backyard last night flying around my fiance. He was lucky enough to have killed it! It is HUGE! Please feel free to contact me with any questions or information. We are curious to find out what",[1],Negative ID
several at one time feeding in a sea holly (blue) plant,[1],Negative ID
This was different color and much larger hornet than I have seen around our house. Most distant about it was the wings where 90 deg or more off it’s body. Most hornets I have experienced have the wings angled back. It was in our blue bushes and left be,[1],Unverified
"I saw the hornet on a hike to lake Dorothy. It was VERY large with an orange head and black thorax. The body was over an inch and very thick. I couldn’t get a photo in time unfortunately. It didn’t resemble any local bees, hornets, or wasps shown on",[0],Unverified
Roughly 2 inches in length not including the stinger,[0],Negative ID
Chasing bees in my garden in Auburn.,[1],Negative ID
I believe I saw it flying in my backyard will submit photo if found again.,[1],Unverified
have seen a large amount flying around my yard,[1],Unverified
Large wasp flying while holding a bee,[0],Unverified
It was flying in our backyard it was fast but definitely Asian hornet,[1],Unverified
i caught the suspected bee. it is not dead yet so i cant take a picture,[0],Unverified
Opened garbage can and the bee came out and hovered over my head,[0],Unverified
"Not sure, but believe this is a murder hornet.  Photo isn’t great, but if it is one, there are more over by our city park.  This one was in our shop at Odessa Trading Co.  in Odessa WA.",[1],Negative ID
"I was out gardening and a redish orange bee caught my eye, its very strange because I live in the Methow Valley in Washington state and I’ve never seen such a thing.",[1],Unverified
Large school bus yellow saw twice possible it could be two. Was excessively large I tried to catch it,[0],Unverified
"I saw a red and orange hornet while gardening, I think my last submission didnt go through so im re-submitting.",[1],Unverified
I found it dead in the sand at the swimming area of Columbus Park at Black Lake in Olympia WA.,[1],Unverified
"We found this large wasp-like insect on the inside of our kitchen window.  The body is about an inch long, not including the unusually long stinger or the antennae.  I'm guessing it might be a wasp queen?  But I wanted to make sure it wasn't the hornet y",[0],Negative ID
"Did not see actual hornet, but came across two bees on patio with no heads",[1],Unverified
"seen flying and killed, seen drowned in horse water trough",[1],Unverified
"Black and yellow/orange, 1/2 inch stinger, very aggressive",[0],Negative ID
Landed on rocks where sprinkler was hitting for water. Looks to be 2x or 3x the size of a yellow jacket. Tried to get close enough for a clearer picture but it kept moving. I went get wasp spray and contain and it was gone when I came back,[1],Unverified
I have the specimen if needed,[1],Negative ID
I suspect this may be a variety of giant Asian hornet. It is extremely large (as you can tell by the size of my fingers in the photo for scale. I want to say several inches long) I captured it in a pickle jar as my children were playing nearby. It has an,[1],Negative ID
Saw a single one of these “Murder Hornets�?outside the front of our house. It’s stopped by some of our white flowers for a moment and flew away. We normally see a lot of honey bees around the same flowers. Unknown if that’s related.,[0],Unverified
Biggest god damn thing I’ve ever seen,[1],Unverified
Please help us verify what this is,[1],Negative ID
I was on my driveway watering when my wife said what is that behind you. It seemed to be attracted to the water. I turned around to make sure it wasn't going to land on my back but it landed on my shorts. I sprayed it with water and it flew away. I was t,[1],Unverified
"It was 11/2"" . It was on the back of a 2"" long green grasshopper and flying it landed I looked around for something to swat it with it flew off with its prey.",[0],Unverified
"I've been to Cambodia and seen very large bees there. This was similar in size but wasn't yellow or orange w/ black like I've seen in the past. 1.5 - 2 inches long. It flew off before I could get a picture but I'm from here, it definitely wasn't a wasp.",[1],Unverified
"Renton,WA",[1],Negative ID
Tried to get a picture but it took flight. Distinctive pointy stinger and about 2 inches long,[1],Negative ID
"I was picking blackberries in my yard.  Two identical 2�?long wasps were less than 3 feet away on the blackberry vines.  I zoomed around a few times, the other was sitting on a leaf.  They were  bright colored, with knife shaped wings.  When at rest th",[0],Unverified
Had a large be like creature land on me while we were sitting on my deck. Looked it up after joking it was a murder hornet and thought it was not it. Then saw a pic of what I saw on Tuesday noted as it.... really not sure but pics I took are included,[1],Negative ID
About a month prior we found a larger one at my dads a few miles away. He has his still and we have ours lol,[0],Negative ID
"I was away for two weeks. When I came back yesterday, I found this drowned in a water container, close to my bee hive.",[0],Unverified
Saw what I believe to be a murder hornet while walking in my back field.,[1],Unverified
"West Seattle resident. Found these two, connected, on the walkway in front of our house. Although we don't believe they are Giant Asian Hornets, have captured and submitting photo just in case. The larger insect is at least an inch long. Feel free to rea",[1],Negative ID
caught two in bee traps. THInk we have a couple more now.,[0],Negative ID
I was out walking ou lot making sure it was clear of trash and saw one land on the ground for a few seconds and flew off. Unfortunately it did not stay still long enough for me to snap a picture of it. It was about an inch and a half long and had orange,[1],Unverified
Multiple sightings,[0],Unverified
Looked like bee/wasp.  Burrowing into grassy area near beach in West Seattle.  Many insects? 5?  About 2 inches.  Never seen before.  Orange body.,[0],Negative ID
swimming in pool still alive with us. Alerted maintenance crew or security. Not sure if it was one or not bit unlike any we have seen,[1],Negative ID
"2 inches long, black and orange, no photo as I didn't have my phone with me, corner of NW 59th Street and 22nd Ave NW in Ballard, Seattle, WA 98107 - flying low to ground over a bark covered ""natural"" area between the sidewalk and curb on the NE corner o",[0],Unverified
Flew over and around our backyard seating area. It landed nearby on a tree stump and stayed long enough for me to identify it. I did not have my phone with me to get a picture.,[0],Unverified
"Just saw this in Prosser, WA off of Wine Country Road",[0],Negative ID
I think it may be an Elm Sawfly but thought I would report it to be sure,[1],Negative ID
It was definitely an asian hornet it chased us Inside the house in vancouver wa in the 98682 zip code,[1],Unverified
"Noticed the large size, bright stripes on the back, long wings, loud sound when it took off.",[0],Unverified
"Just never seen one with markings and fangs, legs as big as this one.",[1],Negative ID
Ground dwelling. Multiple holes in sandy parking space. Carnivores.,[0],Negative ID
1.5-2 inch long?,[1],Negative ID
have no idea what this is but just in case,[1],Negative ID
"The hornet was about the size of my thumb, mostly black in color. The sting was very obvious. I didn't get a picture because I was in shock of what I was seeing. I've never seen anything like it before",[1],Unverified
"inside our carport, flew off",[0],Unverified
Saw it flying in our yard and then it went north and we lost sight of it,[0],Unverified
This was found in my swimming pool and I think the colors may be faded due to the chlorine,[1],Negative ID
This half of a seem to be Asian hornet was found by our pool close to a hige hornet hive.,[1],Negative ID
"2"" long bee with orange head & Rear, and as round as a bumble bee. Flew in tyo the grass and found a hole and entered it. Then I pluged the hole. He moved to fast to get a pic.",[1],Unverified
The picture is bad and does not really show what we witnessed. The sun was reflecting off the top of it and washed out the colors. It had an orange head and orange and black stripes. It was at least 1 1/2 inches long,[1],Negative ID
This is the second time I see a hornet this big in my yard.  I saw the same or similar hornet two days ago.  It's about 1 1/2 inch in size.,[1],Negative ID
Pretty big. Didn’t make much (if any) noise while it was flying,[1],Negative ID
"I didn’t want to get very close, but this was a very large thing with orange coloring. It was investigating my parsley flowers, and I was alerted to its presence by the audible buzz as it flew. I was shocked by its size, which I estimate at 1.5�?long",[1],Negative ID
I've not seen this hornet and it does not look like the one's picutred on this site?  Sited yesterday as well believe pictured on flowering mint.  Some feedback would be GREAT.,[1],Negative ID
"Very large, looked just like picture of Asian giant hornet, didn't land long enough to get a picture",[0],Unverified
"I was at Walmart in Pullman, WA when a lady pointed it out. It was bigger than a quarter after I killed it and it was layed out. The legs and body were bright orange. I didn't look at the face. It doesn't look like the Asian Hornet in most pictures excep",[1],Negative ID
"Seen at 200 Hawk Haven Rd Selah, and also at 4 N 1st St Selah WA",[0],Negative ID
The hornets are in my gravel driveway and are about 2 inches long. We're concerned that they are the Asian Giant Hornets.,[1],Negative ID
Unfortunately I don’t have photo. I definitely saw this hornet at Beebe Bridge State  Park. I saw CV one near the shoreline at the beach in the swimming area. It was alive and landed near the water. The other was dead in a walking path by the children,[1],Unverified
I was in my garden when I noticed this! It’s only half or quarter Of a bee but it look larger than normal,[0],Negative ID
I was riding my bike Tuesday morning when a large insect attacked me and stung my upper lip. When I racked it off my face it stung or bit my thumb and drew blood.,[1],Unverified
"Captured live, have in a jar, 409 bigelow street, Twisp, Wa",[1],Unverified
"This was seen in Tracyton, Wa on July 30, 2020. The bee was 1.5 inches long.",[0],Negative ID
got stung in back yard twice when i saw them coming out of their nest in the ground next to my house,[0],Unverified
"Possible giant Asian hornets observed ~5 individuals at the kettle falls national park campground, Stevens county, Washington.",[0],Unverified
Found these on the flowers of my leeks.,[0],Negative ID
"Saw the hornet in a flower, put it in a bag, took 2-3 days forIt to die. I do still have it but likely decomposing",[0],Negative ID
Not sure if this is one,[0],Negative ID
Multiple hornets sighted and active around our house. Got a couple with a wiffle ball bat...,[1],Negative ID
"Seen in my backyard this am, in beautiful Ballard",[0],Unverified
"I saw this hornet, large, orange, and it kept dive bombing other bees in the area.  I tried to take a photo but couldn't get a clear one and I was a little nervous about it.  When I went back to take another look there appeared to be 2. One of them was f",[1],Unverified
"My husband got stung on his right bicep 7/16 by something that was so excruciating, like nothing he's ever experienced before.  It was so strong that it actually ruptured a nearby blood vessel, bruised his arm and left him in extreme pain for days.  This",[1],Unverified
Seen on garlic flower,[0],Negative ID
The hornet flew at me as I was coming out of my house. I retreated and it flew out into the road about 15 feet away from me. Because of its size I was still able to see it fairly clearly.,[0],Unverified
My kids were playing in my front yard and my husband spotted a huge wasp. He happened to be pressure washing the house and sprayed it. Placed it in a jar. Since then we have spotted several in our yard but can't pinpoint where they are coming from. If th,[1],Negative ID
Captured 2 possible murder hornets...,[1],Negative ID
I was stung on the boardwalk at th port of kalama after having lunch at the mcmenamins. I didn't see the bee up close but its the sting and subsequent symptoms that makes me think it was a murder hornet. The bee stung me through my pants in my calf. The,[0],Unverified
Yesterday around 3 p.m. I saw a hornet on a yard ornament in our yard. I noticed right away that it was very large (which is what drew my attention) and that it was orange and black instead of the yellow I'm use to seeing. I stood about 3 ft from it and,[1],Unverified
"Single hornet, about 12 years ago. I new what I was looking at when I saw it.",[1],Unverified
Do asian giant hornets feed on pollen? I saw what could have been one (much larger than any bee I've seen before) feeding on lavender along with normal bees on a walk yesterday.,[0],Unverified
Extra large orange colored bee type,[0],Unverified
Lake chelan camp site,[1],Unverified
"Don't think this is the murder hornet but not totally sure, could you please advise as to what it is",[0],Negative ID
"Very large hornet, orange legs and rear body, but not really stripes",[1],Negative ID
Hornet found dead outside the corner of my front door,[1],Negative ID
I swear I just saw a Murder Hornet flying in the Dogwood tree outside our office.  Holly Crap!  I wasn't able to get a picture. 1:05 pm.,[0],Unverified
Very large Hornet emerging from ground hive.  Making audible noises.  Seen flying last week.,[0],Negative ID
Several spotted within last 2 weeks by one of out skeet ranges,[1],Unverified
"Looking at properties today. 4594 Hwy 231, Springdale,wa 10:00am feasting on canadian thistle with othet bees and waspssy",[1],Negative ID
Large 2 inch yellow orange hornet never seen anything like it. setting up an over the counter hornet trap. Cannot provide any video will try to get pictures,[0],Unverified
"I saw a murder hornet in my yard in Dash Point. The hornet was near a fuchsia and flew in a circle around me which caused me to freeze. I was unable to capture a picture, but am positive from the picture above. Within a few days we can caught the below s",[1],Negative ID
Clyde Hill Wa,[1],Negative ID
"Was difficult to get a picture without it flying away. It was approx. 1.5-2 inches long, very orange (slightly reddish orange) with distinct black markings on the abdomen",[0],Negative ID
"Insect landed briefly on a rock at the West Point lighthouse in Discovery Park, Seattle. Didn’t have time to take a photo. Possible it was a cicada killer, though the color contrast was almost purple/orange, 2 inches long.",[0],Unverified
"Landed in our pool. I thought it would drown but it swam to the side of the pool, climbed up the side and sped off. We live in East Mount Vernon and have woods on our south property line.",[1],Unverified
Green Lake,[1],Negative ID
"In 2006 & 2007  I came across giant hornets maybe two inches long and no less than one and half inches. They looked like normal except huge hornets, yellow jackets.  They were hibernating inside an infrequently used tape dispenser so that when I pulled t",[1],Unverified
I unfortunately did not snap a photo but I saw one fly in front of me it was at least 3 inches in length and it looked like a tiger.,[1],Unverified
"I’ve looked up every thing it could possibly be, and I swear to god I’m certain it was a murder hornet. It landed next to me on a chair outside. It’s head was huge, the whole thing was about 2 inches big. I can’t make this up. Omg",[1],Unverified
"Hovering, grabbing honey bees, biting them.",[1],Negative ID
I don't remember the exact date.  But it was mid to late afternoon.  I was working in my backyard and I went turn on my garden hose and I saw the hornet in the grass about 2 feet from my house where the bees tend to like the clover.  I wasn't more than 2,[0],Unverified
"One large hornet with two smaller ones on its back, the jar is a large 24oz salsa jar for size comparison",[0],Negative ID
Found by flower pots and I was able to kill it.,[1],Negative ID
Seen in Clinton WA.  Is this the murder hornet?,[1],Negative ID
It was to big to be a honey bee it was eating on some small flowers on my walkway.,[1],Unverified
Large hornet circling while I was washing my bike outside in Kirkland. It looked like the asian wasp.,[0],Unverified
Saw one resting on a garden plant leaf,[0],Unverified
Found under the hood of the vehicle dead.,[0],Negative ID
"I had my shed torn down and removed.   One of the workers found it and I put it in a zip lock bag.  It was alive on Tuesday don't know now.  I refuse to open the bag to see it, it's really big and the bag is not see through.  If you interested in it your",[1],Unverified
There were multiple  burrows in the ground of single hornets.,[1],Unverified
I think I saw an Asian Giant Hornet in my backyard yesterday. I didn’t take a photo of it but it surely looked like one,[1],Unverified
Massive hornet the length of my palm was flying on and off of my 3rd story apartment window. Will report again with photo if it comes back.,[1],Unverified
Flew by our heads and landed on the ground. I am so sorry I killed him. I got scared and didn’t know you were suppose to capture them until after I already killed and looked it up... I’m sorry. I will watch for more and try to capture if I see anothe,[1],Negative ID
"Spotted at Alta Lake state park. I did not get a pic but tried to capture it. Definitely had the large eyes, almost 2 inches in length, and was definitely orange. It was by itself hovering around some of our food.",[0],Unverified
"flys Very fast, does not stay long when it stops. I have had one each time and yesterday & the day before it flew back out the window. I do not know if the one that was here today is still in the house.",[1],Unverified
"We were camping there earlier this week.  95% certain we saw a few there.  Not sure what else they would have been, they were massive and looked just like the pics.",[0],Unverified
"Big, orange, ugly, made really loud bzzz sound. It was narrow not chunky like a bee. Really mean looking. Like a mosquito on steroids but orange and with shorter legs.",[0],Unverified
Ground nest.  Apx. 20-50 each,[1],Negative ID
"i killed it and will include a photo not sure if it is one my brother in law wanted me to contact you, if it's not sorry",[0],Negative ID
"More than an inch and a half, but smaller than two. The orange band in the middle was wider. It was docile.",[1],Unverified
Found in a pile of wood being cut,[1],Negative ID
"I saw what looked like the hornet in this article resting on my arbor. I got within 3 feet until I realized what this could possibly be. I ran back inside to get my phone to take a photo, but when I got back outside, it was gone. I stood there, looking a",[1],Unverified
"It flew near the house, I could hear it before I saw it. I lost sight of it and 30ish seconds later it reappeared very close to my nose!",[0],Unverified
"Noticed on tree leaves east side of city park in Almira, WA.  W Main St and S 2nd St.  Very large,  didn't stay on leaf long enough to get a photo, but saw it several times.  Much larger than normal hornet or yellow jacket.",[0],Unverified
We were on the Packwood Lake Trail in the Gifford Pinchot National Forest. It was quite large.,[1],Negative ID
There are 6 holes on ground. Reddish toned Hornets coming out of them. Pesticide was applied to all holes and areas surrounding,[0],Unverified
"This is the second sighting. We have a large vegetable garden and something was making the cilantro closer dip over several inches. It looked just like the photos except the striped abdomen was quite orange, in addition to the stripes. I also saw one ver",[1],Unverified
located and killed at the gas station,[1],Unverified
"Resident of Duvall for 5+ years and never seen this type of specie before. Very long, big and loud! Dark in color except for the face. Wings were huge.",[1],Unverified
Usually seen in the afternoon by our pool and flying low on our dirt hillside. This one that I took a picture was about 2 1/2 inches long.,[0],Negative ID
I am not sure if it was a murder hornet but a giant orange/yellow/black flying bug circled my garbage can as I walked by with my kids in the stroller. I had my baby with me so I did not stop to take a closer look but it was about 10 times the size of a h,[0],Unverified
The bee I found had accidentally been stepped on so was dying,[1],Negative ID
Found dead on sidewalk in Seattle (1st and University). Not sure if it is a hornet or not. Shoe in picture for size.,[1],Negative ID
Seemed like it was hard for it to fly. Landed on a small branch and took the branch down with it. Flew off into the night before a photo could be taken.,[0],Unverified
One flew onto our deck and chased me inside tonight @ 10:15pm.,[0],Unverified
"Killed one like that at our condo..  6533 Seaview Ave. NW, Seattle   Sorry, NO PHOTO",[1],Unverified
Can tel it discolored because it’s been dead but found it on the ground in a grocery store and it had a stinger,[0],Negative ID
Saw it land on sidewalk- thought it was a very large bee - then noticed yellow collar. Flew away before I could get a photo.,[1],Unverified
Was seen keeping pace near a metro bus as the bus drove off,[1],Unverified
"1-ish inches long, love mint and fennel flowers.  Saw them last summer and again the past couple weeks. At least a few of them, most common in afternoon. No stripes on rear, but wanted to make sure it isn't an Asian hornet.  If it's not, any idea what it",[1],Negative ID
Murder hornet cited. Did not get a chance to take a photo to but confirmed citing through various pictures of the species.,[0],Unverified
"Hi, I've been doing yard work in my neighborhood trail and I came across the biggest bee I have ever seen. When I saw it, I joked and thought ""ooh a murder hornet, so scary"". It was until I got closer that I began to panic because of how it looked. I am",[1],Unverified
"While camping at Starbuck / Lyons Ferry Marina KOA, 102 Lyons Ferry Rd, LaCrosse, WA 99143, our neighbor campsite warned us of seeing the ""murder hornet"". I asked if he had reported it and said he wasn't sure. Anyway in reading an article that you have t",[1],Unverified
We didn’t get a photo because it got away too quickly but my husband things he saw a giant Asian hornet in our garden when he was gardening. it landed long enough that he saw it clearly and said it was around 2 inches long and very orange.,[1],Unverified
It almost landed on my head while sitting on the porch my boyfriend swatted it away and it landed on a post.  He saw how large it was and hit it with his hat and it fell to the ground.  He then instinctively stepped on it but it took at least 20 min for,[0],Negative ID
"I noticed the large insect acting strangely, so I approached. It was flying in an up and down motion bouncing off the ground. Sorry no photo. I did realize what it could be because it was not familiar to me. It finally flew off.",[0],Unverified
"Found in the gravel, just off the Naches-Wenas Road, during a stop on a bike ride.",[0],Negative ID
This is the second one I have found.  I have the be. It is dried. I collected it after I stunned it.,[1],Negative ID
Found in our garden on our daisies. Bumblebees loves our daisies.,[0],Unverified
"I believe the insect I saw in my cilantro was a giant hornet. Other pollinators in the bush were upset and buzz-bombing it. I ran for camera and gloves to photo and destroy, but not in time for either.",[0],Unverified
"Was in grass in yard; we killed with and have it for you.  We have it an old large, orange plastic prescription container.  (360) 551-2647.",[1],Unverified
Possible see one at the Semiahmoo spit near the small parking lot/pull off along side the trail.,[1],Negative ID
"Steamboat Rock State Park. 1.5-2"" long orange head, dark eyes, thick thorax and abdomen.",[1],Unverified
I was digging into slope in my yard in the process of building steps when I discovered huge orange and black insect (2 inches).  There were also a bunch of smaller orange winged insects in the ground.  (Stupidly) I put the big insect back in the ground a,[1],Unverified
Absolutely a murder hornet. It was huge and was in my backyard,[0],Unverified
I found a dear bee on my lawn chair it had a head and wing but no body.  I have holes in my flower beds that I have just noticed that are round and many of them that I have never seen beforethey are perfectly roundandand about a half inch across they are,[0],Unverified
"Seen at Magnuson park in Seattle, WA across the water from the Magnuson park boat launch. Was sitting on my foot, when seen i flicked it off, very docile and didn't move from the spot it landed. two others were seen as well.",[0],Unverified
"Seen at Magnuson park in Seattle, WA across the water from the Magnuson park boat launch. Was sitting on my foot, when seen i flicked it off, very docile and didn't move from the spot it landed. two others were seen as well.",[1],Unverified
"Seen at Magnuson park in Seattle, WA across the water from the Magnuson park boat launch. Was sitting on my foot, when seen i flicked it off, very docile and didn't move from the spot it landed. two others were seen as well.",[1],Unverified
We notice it on our screen door when we realized what it was it flew away when we tried to open screen to capture it it was very large could not kill or capture  did not get photo because by the time we realized what it was flew away,[1],Unverified
digging up sprinkler box and I noticed it flying around. Was able to knock it to ground then kill it,[1],Negative ID
"It was very large, appx 1.5-2 inches and thick bodies. Orange head. It chased me and flew off so I couldn’t get a picture.",[1],Unverified
Noticable orangish face and distinctly plumper that a wasp. It traveled through our house and was trapped between our screen and door out of panic. I wasn't thinking and opened the screen to release it.,[0],Unverified
I noticed 2 of these on a plant in one of the beds at my house...I thought they were really big and laughed to myself it couldn't be one of them...it wasn't until I watched a news report about these hornets did I realize that they are what I saw.  I live,[0],Unverified
"My husband is pretty sure he saw one, but couldn't get a picture. Decided to submit this anyway in case others have been spotted in the area.",[0],Unverified
Found on the floor of our apartment parking garage. Was dead. We collected it and have it in a plastic bag. Quarter for comparison.,[0],Negative ID
Found in road with body area partly damaged. Crunches up it measure about 1.5 inches. Chelan wa,[0],Negative ID
"It was dead laying in my driveway. I have it saved in a sandwich bag. I live in Vancouver, Washington",[1],Negative ID
"A workman at our house pointed out a hornets nest attached to my rhododendron in the front yard.  He said there were evasive hornets in the area.  I saw a single, very large hornet utilizing the nest.  Knocked down the nest and stepped on the hornet.  Th",[0],Unverified
Both my wife and I saw this flying around our deck for a minute. Observed it close and this was approx 2in long. Flew off before we could snap photo,[0],Unverified
